Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2014;369.780.340;13.567.419;56.330.492;99.816.386;149.694.876;29.254;50.341.914
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2014;325.878.504;8.171.220;14.392.330;63.105.815;73.226.695;54.692;166.927.753
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2014;309.883.023;21.633.473;591.461;19.628.717;268.029.372;0;0
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2014;241.027.610;31.600.491;30.809.170;50.580.134;45.236.457;81.153;82.720.205
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2014;163.486.743;35.106.260;32.571.809;42.647.104;53.131.287;30.284;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2014;115.101.472;7.627.966;13.731.152;45.538.738;30.451.147;32.506;17.719.964
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2014;46.025.353;1.193.066;1.400.446;16.260.188;19.152.263;1.311;8.018.078
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;09/2014;45.771.189;6.182.084;2.742.931;13.093.628;15.589.987;8.966;8.153.593
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2014;17.742.382;167.385;2.858.912;2.806.473;8.915.699;290;2.993.624
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2014;14.939.292;3.299.500;270.079;3.553.788;3.937.022;0;3.878.904
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2014;14.079.454;515.033;1.558.324;6.052.468;5.784.782;7.815;161.031
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2014;13.405.332;1.434.717;4.194.868;3.124.058;4.650.736;954;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2014;11.033.146;1.735.538;496.538;1.851.852;6.949.025;192;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;09/2014;10.897.170;126.573;328.153;4.127.387;3.721.011;16;2.594.030
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;09/2014;10.111.129;748.525;1.595.250;6.361.306;1.406.043;4;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;09/2014;8.559.585;825.167;1.017.413;4.717.910;1.619.842;18;379.234
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2014;8.440.188;1.154.270;925.737;3.492.094;2.867.931;156;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2014;8.152.360;320.817;267.989;1.053.449;6.509.085;1.020;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;09/2014;7.931.678;499.358;526.299;3.556.422;3.349.582;18;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;09/2014;6.399.864;213.452;325.231;4.608.986;1.246.501;5.695;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;09/2014;5.810.515;507.539;153.546;1.492.125;2.850.855;0;806.450
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;09/2014;5.782.402;140.458;30.323;712.176;1.406.757;0;3.492.688
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;09/2014;4.802.949;109.862;445.968;2.269.362;1.977.752;6;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;09/2014;4.760.364;128.361;651.664;1.385.410;2.594.861;67;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;09/2014;4.735.138;135.858;122.332;2.433.882;2.030.557;104;12.404
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;09/2014;4.386.239;665.668;1.523.114;1.938.445;259.007;5;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2014;4.257.242;43.067;434.291;599.039;3.011.591;0;169.254
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2014;3.945.729;780.674;587.725;1.491.096;1.086.228;5;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;09/2014;3.859.786;52.826;909.170;2.358.953;538.835;2;0
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;09/2014;3.784.040;4.176;25.481;296.867;3.457.516;1;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;09/2014;3.743.743;905.240;489.850;1.875.167;473.486;0;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;09/2014;3.448.505;179.579;442.534;2.404.359;421.627;407;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;09/2014;3.312.220;117.394;69.519;1.748.315;997.987;39;378.967
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;09/2014;3.304.870;970.033;447.874;1.590.930;296.033;1;0
INDUSVAL;50.531;b1;C;2;;199;SAO PAULO;SP;09/2014;2.864.942;13.071;342.034;1.116.546;1.237.813;0;155.477
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;09/2014;2.699.842;0;8.009;849.344;1.842.487;1;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;09/2014;2.547.682;12.406;67.503;423.721;1.201.053;0;842.999
ING;51.073;b1;C;3;;199;SAO PAULO;SP;09/2014;2.541.223;0;0;0;2.541.223;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;;8;SAO PAULO;SP;09/2014;2.511.792;1.012;16.129;459.663;861.894;0;1.173.093
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;;30;PORTO ALEGRE;RS;09/2014;2.417.343;96.782;129.900;1.148.045;1.042.615;0;0
BANCO DA AMAZOA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;09/2014;2.104.302;23.979;120.430;682.126;1.277.644;124;0
SCAA BANCO S.A.;11.417.016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;09/2014;2.098.414;332.490;445.747;1.095.046;225.130;0;0
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;09/2014;2.092.705;127.425;351.452;1.378.178;235.313;338;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;09/2014;1.895.649;474.035;115.339;223.090;1.083.138;46;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;09/2014;1.895.572;294.397;424.351;1.130.871;45.706;247;0
SOFISA;31.873;b1;C;2;;199;SAO PAULO;SP;09/2014;1.859.296;102.480;73.785;1.339.952;343.068;11;0
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;09/2014;1.762.453;190.843;121.271;1.064.190;386.149;0;0
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;09/2014;1.719.314;191.378;180.906;933.643;413.086;301;0
BES;51.482;b2;C;3;;198;SAO PAULO;SP;09/2014;1.610.735;40.987;233.665;490.383;576.728;0;268.972
JP MORGAN CHASE;20.107;b1;C;3;;199;SAO PAULO;SP;09/2014;1.498.910;68.663;33.462;455.146;941.637;0;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;09/2014;1.442.927;160.920;111.902;1.062.839;107.189;77;0
BBM;30.207;b1;C;2;;199;SALVADOR;BA;09/2014;1.407.294;228;95.957;473.103;820.298;0;17.709
BANCO FORD S.A.;90.731.688;b2;I;3;;8;SAO PAULO;SP;09/2014;1.364.117;905;11.536;1.041.803;309.874;0;0
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;09/2014;1.337.031;7.489;17.239;315.957;996.346;0;0
CREDIT AGRICOLE;51.066;b1;C;3;;199;SAO PAULO;SP;09/2014;1.270.218;20.759;3.806;139.017;1.106.636;0;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;;8;SAO PAULO;SP;09/2014;1.215.201;0;38.989;558.300;617.912;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;;19;BARUERI;SP;09/2014;1.185.940;2.002;22.508;251.960;909.469;1;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;;199;SAO PAULO;SP;09/2014;1.127.295;2.575;22.411;660.039;442.267;2;0
RODOBENS;51.736;b1;I;2;;199;SAO PAULO;SP;09/2014;1.125.563;57.179;292.493;734.012;41.876;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;09/2014;1.100.158;46.791;219.379;589.998;243.990;0;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;;8;UBERLANDIA;MG;09/2014;1.060.198;7.096;178.377;723.146;148.090;3.489;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;;8;SAO PAULO;SP;09/2014;977.014;29.452;190.712;594.655;162.185;10;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;;30;SAO PAULO;SP;09/2014;939.345;145.955;73.436;591.878;128.076;0;0
BANCO MONEO S.A.;7.441.209;b2;I;2;;8;CAXIAS DO SUL;RS;09/2014;876.110;40.495;137.256;686.152;12.207;0;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;;8;SAO PAULO;SP;09/2014;774.020;0;734;34.097;739.189;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;;30;FLORIANOPOLIS;SC;09/2014;754.438;21.623;83.507;539.092;110.215;1;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;;30;CURITIBA;PR;09/2014;738.894;41.919;31.511;470.169;195.168;126;0
CAIXA GERAL;51.815;b1;C;3;;199;SAO PAULO;SP;09/2014;693.877;69.119;108.850;305.681;210.227;0;0
PSA FINANCE;51.365;b2;C;3;;198;SAO PAULO;SP;09/2014;630.967;0;505.283;97.561;28.120;4;0
J.MALUCELLI;30.881;b1;C;2;;199;CURITIBA;PR;09/2014;625.390;4.562;65.931;316.930;237.615;352;0
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43.818.780;b2;I;3;;8;BARUERI;SP;09/2014;457.673;9.325;66.900;280.563;100.869;16;0
BANCO MODAL S.A.;30.723.886;b1;I;2;;8;RIO DE JANEIRO;RJ;09/2014;453.847;16.379;19.468;124.057;293.943;0;0
BANCO RANDON S.A.;11.476.673;b1;I;2;;8;CAXIAS DO SUL;RS;09/2014;448.396;5.846;65.167;341.766;35.611;6;0
BMW;51.420;n1;C;3;;197;SAO PAULO;SP;09/2014;443.517;10.494;57.036;219.379;156.606;3;0
MIZUHO;51.554;b1;I;3;;199;SAO PAULO;SP;09/2014;430.159;106.360;12.690;102.754;208.354;0;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54.037.916;b3S;I;2;;9;BEBEDOURO;SP;09/2014;399.285;23.261;75.567;241.236;59.186;35;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;;8;ARACAJU;SE;09/2014;398.746;36.409;57.019;305.041;0;277;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71.328.769;b3S;I;2;;9;SERTAOZINHO;SP;09/2014;396.544;81.360;61.048;190.154;63.924;58;0
BOFA MERRILL LYNCH;51.255;b1;C;3;;199;SAO PAULO;SP;09/2014;376.492;0;0;257.399;119.091;1;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15.163.587;n1;I;1;;30;SALVADOR;BA;09/2014;374.570;37.399;33.575;271.366;32.231;0;0
RENDIMENTO;51.468;b1;C;2;;199;SAO PAULO;SP;09/2014;371.422;40.727;31.844;253.679;45.154;18;0
BANCO GUANABARA S.A.;31.880.826;b1;I;2;;8;RIO DE JANEIRO;RJ;09/2014;362.288;6.783;21.790;250.921;82.787;7;0
BANCO DA CHINA BRASIL S.A.;10.690.848;b1;I;3;;8;SAO PAULO;SP;09/2014;358.410;0;0;105.050;253.360;0;0
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;;8;SAO PAULO;SP;09/2014;345.773;0;0;4.581;341.192;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91.586.982;b3S;I;2;;9;NOVA PETROPOLIS;RS;09/2014;343.883;58.457;105.505;137.536;42.100;286;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;;8;SAO PAULO;SP;09/2014;333.545;0;0;49.782;283.763;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;09/2014;332.618;36.936;49.369;107.756;138.458;100;0
BAF;20.255;b1;C;3;;199;SAO PAULO;SP;09/2014;332.517;124.226;95.240;110.783;2.268;0;0
INTERMEDIUM;51.884;b1;C;2;;199;BELO HORIZONTE;MG;09/2014;330.617;18.941;31.966;253.940;25.768;1;0
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3.459.850;b3S;I;2;;9;MARINGA;PR;09/2014;321.761;109.224;39.373;114.028;58.971;165;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;;9;LINHARES;ES;09/2014;312.427;31.312;90.711;190.091;253;61;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UCRED FLORIANÓPOLIS;74.064.502;b3S;I;2;;9;FLORIANOPOLIS;SC;09/2014;305.672;11.974;42.817;238.705;12.143;32;0
BANCO TRICURY S.A.;57.839.805;b2;I;2;;8;SAO PAULO;SP;09/2014;305.631;40.145;59.296;161.124;45.066;0;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;;8;SAO PAULO;SP;09/2014;293.478;12.387;63.981;204.231;12.877;2;0
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17.453.575;b1;I;3;;8;SAO PAULO;SP;09/2014;282.339;0;47.245;74.480;160.614;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;;9;GOIAA;GO;09/2014;277.962;5.920;142.036;126.665;3.331;11;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UÃO PARANÁ/SÃO PAULO - SICREDI UÃO PR/SP;79.342.069;b3S;I;2;;9;MARINGA;PR;09/2014;266.406;34.074;55.546;79.083;97.498;205;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;;9;BLUMENAU;SC;09/2014;265.570;106.477;123.866;34.900;0;327;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP;78.414.067;b3S;I;2;;9;MEDIANEIRA;PR;09/2014;258.658;84.154;65.275;66.877;42.190;162;0
SOCOPA;50.328;b1;C;2;;199;SAO PAULO;SP;09/2014;257.369;14.045;13.520;140.229;89.573;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87.437.687;b3C;I;2;;9;PORTO ALEGRE;RS;09/2014;257.136;8.383;247;37.649;210.857;0;0
BRICKELL S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12.865.507;n1;I;2;;14;SAO PAULO;SP;09/2014;254.489;0;7.808;115.031;131.649;0;0
UCRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35.571.249;b3S;I;2;;9;JOAO PESSOA;PB;09/2014;251.292;16.883;46.135;179.516;8.740;17;0
SANTINVEST;50.816;n1;C;2;;197;FLORIANOPOLIS;SC;09/2014;251.194;38.348;51.781;152.478;8.579;8;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.313.766;n1;I;2;;14;SAO PAULO;SP;09/2014;247.133;12.633;102.867;127.916;3.717;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815.319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;09/2014;241.927;27.286;57.958;138.311;18.287;86;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5.582.619;b3S;I;2;;9;LONDRINA;PR;09/2014;238.222;57.888;30.806;39.367;110.112;49;0
UPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2.398.976;b3S;I;2;;9;LONDRINA;PR;09/2014;234.709;29.606;66.806;137.724;546;28;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;;9;CHAPECO;SC;09/2014;233.877;91.243;42.000;24.621;75.960;53;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90.608.712;b3S;I;2;;9;CARLOS BARBOSA;RS;09/2014;226.151;54.056;68.580;71.464;31.965;85;0
BONSUCESSO;50.706;b1;C;2;;199;BELO HORIZONTE;MG;09/2014;224.708;29.524;17.959;120.539;56.526;160;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32.467.086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;09/2014;224.647;26.105;60.952;135.685;1.845;60;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DO LITORAL E NORTE CATARINENSE LTDA;74.114.042;b3S;I;2;;9;ITAJAI;SC;09/2014;201.529;14.160;53.090;134.232;0;47;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42.898.825;b3S;I;2;;9;BELO HORIZONTE;MG;09/2014;200.657;20.031;29.052;141.292;10.264;18;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28.145.829;b4;I;1;;5;VITORIA;ES;09/2014;193.440;40.612;54.507;58.460;39.838;23;0
CSILATINA ARRENDAMENTO MERCANTIL S.A.;5.883.884;n1;I;3;;19;BARUERI;SP;09/2014;193.121;3.055;3.742;98.079;88.245;1;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DO RIO DE JANEIRO - SICREDI RIO;72.128.440;b3S;I;2;;9;RIO DE JANEIRO;RJ;09/2014;192.159;18.505;42.566;76.349;54.736;3;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, OUTROS PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO.;36.900.256;b3S;I;2;;9;CUIABA;MT;09/2014;190.471;14.449;41.468;128.240;6.296;19;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UÃO RS;88.894.548;b3S;I;2;;9;CERRO LARGO;RS;09/2014;184.841;40.516;44.701;62.384;37.137;104;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81.607.046;b3S;I;2;;9;SAO MIGUEL D'OESTE;SC;09/2014;182.564;27.715;56.945;91.471;6.407;27;0
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;09/2014;180.273;11.716;22.648;121.884;24.003;22;0
NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;74.828.799;b1;I;3;;8;PORTO ALEGRE;RS;09/2014;178.315;105.414;33.572;39.201;127;0;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;09/2014;170.538;151.918;18.098;500;0;23;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DOS VALES DO ITAJAÍ E ITAPOCÚ, DO LITORAL DE SANTA CATARINA E LITORAL SUL DO PARANÁ - SICOOB BLUCREDI SUL;3.960.819;b3S;I;2;;9;GUARATUBA;PR;09/2014;163.021;68.083;23.378;31.220;40.296;44;0
COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;3.358.914;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;09/2014;156.074;13.452;77.803;63.054;1.739;26;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95.594.941;b3S;I;2;;9;SANTA MARIA;RS;09/2014;154.076;19.839;24.084;53.893;56.188;71;0
FATOR;50.122;b1;C;2;;199;SAO PAULO;SP;09/2014;151.362;41.344;0;25.220;84.797;1;0
