Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2019;675.594.703;322.942.858;84.291.591;110.302.090;27.491.178;130.073.274;493.710;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2019;616.365.953;266.020.495;90.981.994;77.729.486;32.560.771;112.160.583;317.625;36.595.000
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2019;588.312.308;215.305.328;27.052.519;42.960.485;10.414.326;48.457.956;688.916;243.432.778
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2019;474.510.722;212.766.829;31.593.469;55.026.829;18.675.500;57.466.713;607.263;98.374.120
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2019;309.733.710;177.565.961;21.037.694;30.813.789;9.505.854;44.283.387;280.484;26.246.541
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2019;292.401.931;167.465.240;33.942.667;38.872.293;5.009.443;28.509.152;18.603.135;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2019;66.412.710;34.313.856;4.207.724;7.218.858;1.497.490;11.339.344;5.792;7.829.646
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2019;50.748.421;27.337.634;3.948.673;6.150.837;1.883.420;9.906.253;15.314;1.506.289
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2019;33.698.540;3.759.956;488.495;1.129.004;519.210;27.657.009;21.255;123.611
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2019;21.560.276;8.888.071;9.173.947;1.678.741;313.604;1.505.913;0;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2019;21.452.806;9.874.851;2.192.259;4.547.972;1.474.637;3.347.856;15.231;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2019;21.144.565;5.908.454;3.161.764;739.645;96.782;1.063.843;126.739;10.047.339
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2019;18.228.088;9.708.334;1.858.165;2.553.831;946.514;2.608.132;9.004;544.108
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2019;16.951.952;10.711.839;763.811;2.323.009;575.854;2.554.106;23.334;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2019;14.490.957;6.757.426;1.460.291;2.452.594;876.495;2.942.382;1.769;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2019;13.531.772;259.269;352.554;11.097;3.590;12.903.692;1.570;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2019;13.009.754;7.116.689;964.120;851.996;84.710;2.284.754;1;1.707.484
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2019;11.421.161;9.178.910;543.738;354.162;112.873;1.133.586;97.891;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2019;10.839.490;136.792;3.274.317;28.060;110.382;7.286.867;3.072;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2019;10.306.416;2.295.680;34.480;7.739.616;77.241;157.490;1.909;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;03/2019;10.204.505;5.955.271;573.910;1.180.750;182.018;2.312.423;133;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;03/2019;9.630.750;4.048.860;996.872;1.912.464;860.944;1.810.363;1.247;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2019;9.188.269;2.261.410;2.502.200;622.662;279.809;3.509.354;12.833;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2019;9.122.128;4.649.726;778.325;1.761.330;641.524;926.693;6.156;358.375
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2019;8.732.961;273.823;8.287.483;73.646;68.490;27.682;1.838;0
