Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;;;;;;;;Indústrias de Transformação;;;;;;;;Construção;;;;;;;;Serviços Industriais de Utilidade Pública;;;;;;;;Industrias Extrativas;;;;;;;;Comércio, Reparação de Veículos Automotores e Motocicletas;;;;;;;;Admistração Pública, Defesa e Seguridade Social;;;;;;;;Transporte, Armazenagem e Correio;;;;;;;;Outros;;;;;;;;Atividade não Informada ou não se Aplica;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2019;315.134.246;16.225;610.645;1.163.034;947.418;348.486;80.081;0;3.165.889;401.585;14.406.855;11.875.044;8.619.028;2.187.856;398.396;0;37.888.764;472.368;1.366.305;2.275.498;2.132.789;292.123;163.823;31;6.702.937;2.787;349.513;595.770;1.061.605;716.478;1.209.704;331.660;4.267.516;1.634;1.064.712;1.119.947;130.675;55.090;270.847;0;2.642.905;760.050;12.846.898;11.626.494;7.187.697;1.058.822;114.853;0;33.594.814;52;389;306;312;0;0;0;1.060;296.041;1.844.329;2.156.673;3.514.339;4.254.892;2.247.794;0;14.314.068;919.813;8.016.262;6.626.629;7.044.224;2.129.620;947.745;18;25.684.312;33;10.350;186.861.598
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2019;292.400.400;15.373;22.433;115.233;441.363;310.438;304.384;0;1.209.223;182.497;1.952.819;4.734.471;11.702.377;6.851.685;7.844.312;37.598;33.305.759;0;26.524;76.456;183.663;138.172;67.570;0;492.385;0;2.081.052;5.395.920;14.364.294;12.821.070;49.652.405;18.332.920;102.647.662;0;455.540;1.088.704;2.777.683;1.618.459;1.620.335;0;7.560.720;0;348.081;789.716;2.578.755;383.535;206.789;0;4.306.876;5.551;987.787;2.826.163;7.583.959;7.145.530;20.330.238;7.900.649;46.779.876;4.683;2.976.049;3.607.921;10.267.589;7.813.453;22.982.034;4.587.867;52.239.596;177.116;2.419.672;3.695.382;5.711.192;2.951.698;10.360.817;161.224;25.477.101;18.381.201;0;0
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2019;276.318.190;44.591;543.409;1.033.889;1.191.162;217.418;52.868;15;3.083.352;806.834;16.017.288;19.001.742;8.547.880;5.043.167;4.667.672;615.550;54.700.132;278.559;2.442.918;3.139.867;5.715.008;1.910.097;781.707;235.905;14.504.061;25.087;440.984;553.430;898.142;589.926;1.321.205;287.738;4.116.512;30.100;586.078;2.440.981;114.813;35.387;10.455;0;3.217.815;886.258;20.416.602;12.224.507;8.618.887;2.069.329;292.263;1.816;44.509.662;47;3.918;4.069;3.268;257;0;0;11.560;185.518;2.901.733;3.417.819;5.210.542;2.225.511;2.188.009;34;16.129.166;612.703;7.965.909;10.718.666;10.242.576;3.584.208;4.894.993;112.759;38.131.813;269;9.303;97.904.545
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2019;272.071.046;211.680;546.488;1.270.976;1.035.850;607.911;335.478;5.252;4.013.637;1.650.588;15.926.045;19.080.157;18.592.310;12.567.938;11.248.654;329.029;79.394.721;719.232;1.628.970;2.548.047;3.297.956;868.205;516.388;140.157;9.718.955;4.634;607.142;1.090.424;2.223.694;1.406.529;2.025.097;3.150.774;10.508.293;3.626;96.794;251.107;509.752;803.045;275.300;4.840;1.944.464;1.383.571;13.354.277;14.766.714;11.910.803;3.297.413;2.362.174;641.465;47.716.416;186;1.028.172;2.317.856;6.512.116;6.730.933;26.580.318;1.239.831;44.409.412;155.375;966.705;1.520.484;2.501.140;1.217.572;3.963.463;2.467.670;12.792.410;519.843;3.899.840;6.144.986;10.382.512;3.100.956;2.939.964;989.622;27.977.723;0;1.289;33.593.727
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2019;149.446.551;44.955;151.589;194.060;113.643;45.045;53.193;7;602.492;700.589;1.715.925;4.004.333;8.419.676;2.556.533;1.857.442;102.090;19.356.589;1.097.644;1.929.937;3.981.500;4.458.852;348.572;208.434;14.539;12.039.478;13.565;1.373.117;2.999.760;6.022.609;4.702.924;12.071.625;6.292.996;33.476.596;26.150;11.405;22.666;30.326;10.562;1.478;7;102.594;1.563.868;3.219.448;6.206.023;4.337.747;762.357;169.927;2.792;16.262.161;1.639;1.110.794;3.265.817;7.554.147;6.565.038;18.509.915;1.989.818;38.997.166;197.928;2.454.316;965.877;2.142.811;1.388.572;1.255.742;136.936;8.542.182;911.592;2.481.919;5.867.673;6.837.780;2.074.672;1.870.463;21.088;20.065.188;0;2.105;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2019;128.379.161;89.826;274.884;602.604;445.918;143.131;69.019;193;1.625.575;552.201;15.533.422;9.524.488;3.911.749;1.281.376;240.080;359.672;31.402.987;147.705;1.169.171;1.509.474;1.148.971;409.109;208.014;791;4.593.235;6.004;226.785;551.095;623.982;187.768;446.549;613.350;2.655.534;6.649;192.298;2.294.203;105.445;34.904;29.398;0;2.662.897;891.131;11.647.482;8.329.801;4.705.530;729.377;306.073;10.981;26.587.232;700;34.043;138.472;193.806;71.804;214.266;0;653.092;80.966;817.366;1.243.912;1.962.202;616.007;4.941.940;238.449;9.900.841;469.526;5.706.776;6.752.190;5.756.068;2.178.378;1.554.774;7.609;22.425.321;101;5.441;25.866.904
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2019;45.653.124;3.636;206.978;345.457;389.609;28.810;4.708;0;979.198;39.937;4.047.826;3.223.369;2.421.824;832.793;2.131.619;0;12.697.367;6.535;379.692;500.395;941.173;252.207;9.337;0;2.089.339;262;230.664;74.094;527.124;125.344;40.320;0;997.808;12;44.055;50.139;35.238;19.825;0;0;149.270;24.216;4.073.570;4.583.343;2.070.509;370.902;128.308;0;11.250.848;1;59;10;21;4;0;0;94;2.643;649.391;591.200;667.115;267.266;74.654;0;2.252.269;12.114;2.393.296;2.241.991;2.054.622;624.212;89.937;0;7.416.173;63;337;7.820.360
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2019;20.402.804;4.913;120.263;140.638;222.551;26.069;371;0;514.804;82.396;365.483;1.119.838;977.978;125.902;0;0;2.671.597;25.065;46.005;119.378;227.692;3.936;702;0;422.778;74.088;149.705;55.295;237.531;244.275;1.369.574;1.539.427;3.669.895;0;325.579;0;0;64.346;450.424;0;840.349;47;26.705;60.382;34.269;3.871;65;0;125.339;0;0;0;0;0;0;0;0;90.494;12.713;38.170;77.978;30.083;0;0;249.439;168.561;295.324;389.564;835.407;142.684;289.260;0;2.120.800;126.739;0;9.661.064
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2019;12.812.783;0;105.433;167.098;179.400;49.691;9.502;0;511.124;108.668;853.057;1.656.852;1.150.855;256.570;86.980;0;4.112.981;11.940;283.378;546.061;560.237;29.026;5.343;0;1.435.985;950;207.440;72.062;51.205;28.002;420;0;360.078;37;43.667;109.362;46.500;0;0;0;199.566;11.182;542.727;1.028.778;471.251;65.856;56.247;0;2.176.041;0;0;0;0;0;0;0;0;0;90.036;213.590;243.378;54.881;12.966;0;614.851;19.407;325.899;573.919;638.127;135.746;1.576;0;1.694.673;0;1;1.707.484
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2019;11.985.757;165;47.801;50.397;120.143;38.864;0;0;257.370;37.079;670.078;1.697.795;1.249.212;392.184;130.775;0;4.177.123;1.010;35.974;36.896;43.664;16.721;7;0;134.272;124;8.220;22.091;41.133;20.407;34.217;0;126.192;5;363;888;1.139;117;0;0;2.511;5.313;546.534;688.807;516.050;19.350;13.900;0;1.789.952;0;4;8;15;5;0;0;33;38.245;123.534;283.875;473.512;177.779;41.852;0;1.138.798;12.881;740.314;664.197;548.740;170.320;42.449;674.314;2.853.216;0;0;1.506.289
