Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;;;;;;;;Indústrias de Transformação;;;;;;;;Construção;;;;;;;;Serviços Industriais de Utilidade Pública;;;;;;;;Industrias Extrativas;;;;;;;;Comércio, Reparação de Veículos Automotores e Motocicletas;;;;;;;;Admistração Pública, Defesa e Seguridade Social;;;;;;;;Transporte, Armazenagem e Correio;;;;;;;;Outros;;;;;;;;Atividade não Informada ou não se Aplica;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2019;362.523.760;11.034;620.483;1.359.554;908.805;459.590;334.735;0;3.694.201;380.968;13.970.977;12.564.795;8.302.536;1.925.043;240.547;0;37.384.867;295.674;1.774.853;1.568.135;2.343.251;286.255;133.937;12;6.402.118;4.054;515.013;549.808;972.087;592.442;1.019.084;299.127;3.951.615;1.212;232.461;143.931;154.168;23.027;0;0;554.799;742.837;12.959.156;13.832.720;7.820.871;1.144.239;85.789;0;36.585.612;0;614;1.817;2.020;0;0;0;4.452;418.510;2.243.011;2.813.355;3.889.103;4.310.396;2.233.439;0;15.907.815;409.621;8.587.111;7.174.569;8.744.350;2.945.722;967.931;9;28.829.313;13;1.256;229.207.698
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2019;294.794.268;226.181;420.998;1.363.106;905.305;201.999;56.044;37;3.173.670;545.874;16.702.052;18.828.258;8.059.367;4.792.892;6.584.178;617.978;56.130.599;777.991;2.225.997;2.644.073;4.989.271;1.787.538;493.517;219.556;13.137.942;13.225;311.973;382.010;994.293;381.106;1.313.768;255.382;3.651.756;4.655;413.305;833.635;133.506;48.812;1.250;0;1.435.164;1.157.642;21.351.964;14.169.077;9.750.356;2.385.636;486.004;2.434;49.303.114;24;4.227;3.984;4.607;719;0;0;13.560;513.461;2.977.420;3.579.144;5.807.557;2.598.235;2.169.989;594;17.646.400;989.099;10.784.744;9.106.234;11.119.065;3.650.053;4.938.349;79.644;40.667.188;242;735;109.633.897
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;09/2019;274.505.695;1.117;25.255;96.726;296.844;145.123;40.999;0;606.064;54.340;1.530.049;4.296.040;9.467.973;5.499.132;7.148.485;49.236;28.045.255;0;30.010;74.910;218.240;147.016;169.363;44.337;683.876;0;2.099.309;5.602.598;14.118.160;13.653.953;52.148.192;17.893.692;105.515.904;0;379.872;1.073.338;2.581.449;1.419.198;1.330.292;0;6.784.149;0;191.879;1.887.571;675.095;262.652;205.242;0;3.222.440;0;1.250.775;2.980.817;7.315.410;7.172.776;19.701.902;7.397.413;45.819.093;11.804;1.167.975;4.053.303;9.350.241;7.764.107;22.748.969;4.543.616;49.640.015;79.867;2.058.138;2.362.968;4.700.837;2.298.554;8.950.873;155.776;20.607.012;13.581.889;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2019;261.795.355;69.447;640.854;1.379.033;1.014.051;538.758;364.929;4.596;4.011.670;1.446.003;13.113.066;18.191.403;17.506.348;13.692.677;7.585.549;288.550;71.823.595;942.192;1.193.899;2.323.467;3.188.516;837.754;461.711;70.443;9.017.982;3.907;619.558;668.216;1.747.926;1.025.705;3.264.568;1.903.195;9.233.074;4.335;130.421;168.224;587.537;638.401;135.663;4.709;1.669.291;1.170.425;12.016.988;16.699.370;11.881.871;3.134.810;2.462.439;540.927;47.906.829;295;1.102.943;2.433.613;6.897.071;6.980.091;26.736.330;1.043.704;45.194.047;442.374;1.019.927;1.654.659;2.549.435;1.191.882;4.004.877;2.336.033;13.199.188;568.728;3.522.949;5.481.888;8.075.134;2.556.623;3.453.042;258.652;23.917.015;0;390;35.822.275
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;09/2019;137.641.612;29.049;72.239;248.970;80.539;21.332;2.771;14;454.913;558.586;1.461.749;3.113.589;4.591.671;2.572.796;774.166;85.664;13.158.219;1.037.384;1.645.543;3.518.442;4.273.619;391.644;193.264;10.346;11.070.241;9.976;1.381.620;2.863.896;5.511.493;4.130.869;12.431.716;5.977.840;32.307.411;18.925;11.072;54.535;32.075;11.716;1.357;5;129.685;1.224.560;2.347.023;6.138.945;4.143.994;794.685;112.767;1.463;14.763.437;1.355;1.192.779;3.368.606;8.163.170;7.110.937;18.938.705;1.810.352;40.585.905;481.167;2.244.836;1.013.503;2.157.640;1.262.228;1.235.477;125.716;8.520.567;832.760;1.914.986;5.307.359;6.008.450;1.553.920;1.019.226;14.367;16.651.067;2;164;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2019;134.196.994;13.781;276.900;659.700;547.241;227.093;47.551;193;1.772.460;315.630;15.013.848;10.084.404;3.949.076;1.177.718;267.655;219.233;31.027.564;134.248;955.584;1.318.744;1.189.208;424.431;166.520;678;4.189.413;1.154;230.906;176.493;514.558;82.311;425.365;641.419;2.072.207;2.958;685.081;2.331.583;74.579;11.350;12.834;0;3.118.386;788.131;11.367.346;10.359.269;4.436.481;831.207;256.330;130.433;28.169.197;12;53.101;153.108;169.057;122.777;370.875;0;868.930;110.290;1.000.430;1.128.905;1.750.487;2.480.994;3.159.113;801;9.631.020;387.472;5.372.349;7.697.436;5.971.748;2.029.179;1.207.460;6.263;22.671.908;57;1.915;30.673.936
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2019;49.812.728;1.681;114.426;455.247;328.375;54.530;5.441;0;959.699;33.304;3.289.840;3.888.386;2.562.290;955.926;1.949.126;0;12.678.872;3.577;344.353;567.872;872.808;188.578;10.551;0;1.987.739;18;176.435;286.247;849.585;147.002;36.261;0;1.495.548;32;75.157;26.949;45.011;13.871;0;0;161.020;62.109;5.009.549;5.741.161;2.404.377;475.783;150.889;0;13.843.867;1;29;10;20;0;0;0;60;1.988;633.136;535.224;759.505;304.621;61.747;0;2.296.220;21.274;2.436.461;2.220.473;2.273.306;549.546;108.213;0;7.609.271;42;320;8.780.069
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2019;25.092.354;84.940;66.385;202.663;208.465;24.963;1.999;0;589.415;90.227;985.422;2.129.130;1.096.803;222.359;158.294;0;4.682.236;226;6.767;147.293;257.229;25.079;9.194;0;445.789;0;34.769;85.778;297.859;260.979;1.409.776;1.478.484;3.567.645;0;9.986;0;0;0;0;0;9.986;76;43.752;39.392;66.026;1.026;65;0;150.337;0;0;0;0;0;0;0;0;0;227.497;48.236;77.838;23.246;0;0;376.817;206;370.023;848.182;1.591.307;297.525;304.265;0;3.411.508;126.739;0;11.731.883
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2019;14.037.789;44;80.568;54.454;32.529;4.793;2;0;172.389;58.317;2.181.935;1.393.503;654.004;71.360;8.558;1.934;4.369.611;2.684;121.770;201.571;128.824;12.553;0;0;467.402;636;98.979;81.727;141.419;9.007;0;0;331.768;92;126.501;11.192;3.045;227;0;0;141.056;54.829;1.925.406;1.389.098;507.631;53.425;1.001;13.945;3.945.335;74;17.510;20.000;51.111;0;0;0;88.695;1.419;140.738;203.550;158.107;37.535;3.138;5.649;550.136;6.520;880.270;954.443;688.095;137.645;2.676;8.271;2.677.919;0;50;1.293.428
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;09/2019;13.993.043;0;52.299;246.744;196.326;121.253;33.220;0;649.842;110.815;862.337;1.829.054;1.408.903;399.428;147.568;0;4.758.105;8.504;264.099;503.240;774.790;68.723;7.704;0;1.627.060;0;104.383;79.524;66.650;41.818;4.831;0;297.206;3;165.099;10.098;42.162;17.568;0;0;234.930;10.379;613.966;1.471.562;532.101;85.679;64.686;0;2.778.374;0;0;0;0;0;0;0;0;3.646;64.470;180.685;241.379;50.612;12.886;0;553.679;422;593.470;705.894;666.891;167.932;15.609;0;2.150.218;0;2;943.628
