Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2020;724.150.958;285.943.045;51.917.292;3.135.051;2.497.323;427.186;16.578.018;32.435.753;689.384;61.855;83.256;173.192;0;0;4.329;112.702;330.092.571
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2020;691.461.380;108.311.573;512.253.054;24.736.177;0;0;38;25.299.368;0;0;324.225;9.818.129;0;0;10.702.075;16.740;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2020;650.743.370;403.974.330;60.598.483;10.445.091;6.784.607;51.445;7.439;73.431.332;0;47.372.927;1.732.393;141.251;0;0;3.004.845;21.396;43.177.831
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2020;569.705.045;289.975.077;58.406.907;4.363.948;6.513.041;15.428;19.697.981;49.439.604;982.734;0;1.168.122;92.970;0;464.517;0;75.671;138.509.045
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2020;378.261.320;248.503.686;48.117.864;1.960.863;1.393.636;34.830;62.080;21.541.494;717.494;0;711.418;53.210;0;780;1.754.402;45.001;53.364.563
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2020;263.667.310;42.225.589;41.739;164.797.905;35.684.375;2.097.845;5.738.551;0;6.384.549;0;14.563;6.682.195;0;0;0;0;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2020;75.161.134;46.170.316;222.850;555.703;724.470;0;1.502;17.688.016;161.815;0;12.037;43;0;602;0;2.067;9.621.714
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2020;55.571.677;47.144.892;857.706;199.360;227.457;55.629;1.124.611;3.838.778;20.847;0;0;67.368;0;0;42.235;1.686;1.991.107
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2020;35.870.863;26.839.480;5.642.618;140.214;21.271;0;7.522;2.977.250;16.453;0;45.006;0;0;0;45.723;2.006;133.319
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2020;30.671.389;5.902.970;66.508;2.563.135;0;210.173;0;8.755.633;0;0;22.065;92.485;0;0;54.547;0;13.003.873
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2020;27.763.468;23.638.739;0;146.828;71.155;0;0;3.905.524;301;0;0;0;0;0;920;0;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2020;24.704.170;24.017.947;116.201;0;0;0;0;234.268;0;0;237.085;45.546;0;0;47.426;5.698;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2020;23.371.631;18.870.300;0;0;127.141;0;51.334;2.120.947;334.566;316.798;27;0;0;0;621.430;3.977;925.111
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2020;22.938.343;12.156.507;0;408;0;0;9.411.429;1.358.879;0;0;0;0;0;0;0;11.119;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2020;17.856.636;5.222.256;0;96.243;215.445;0;0;7.881.116;98.730;0;0;448.974;0;5.650;1.134.105;2;2.754.113
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2020;17.655.802;13.567.868;0;1.276;0;0;0;4.086.589;67;0;0;0;0;0;0;1;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2020;17.567.065;13.464.766;0;567.895;1.053.125;0;0;2.326.646;13.977;0;0;0;0;0;140.630;25;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2020;13.490.765;8.128.796;57.115;2.698.952;602.445;0;0;0;910.789;0;481.326;23.871;0;77.299;507.333;13;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;03/2020;12.395.602;10.108.405;261.060;751.789;1.030.077;0;0;34.505;209.765;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2020;12.274.653;10.435.385;926;190.891;531.483;0;378.438;693.396;0;0;0;0;0;0;0;48;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2020;11.981.956;3.062.917;7.744;0;0;0;0;2.384.446;0;2.082.096;0;0;0;0;0;378;4.444.373
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;03/2020;11.966.947;11.768.757;0;0;0;0;0;0;0;0;0;0;0;0;0;198.190;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2020;11.470.556;10.211.513;148;16.931;0;0;1.241.884;0;0;0;0;0;0;0;0;80;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2020;10.971.449;9.953.304;0;0;0;0;15.127;252.707;0;0;0;0;0;0;57.887;2.642;689.783
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2020;10.716.778;7.511.839;26.216;271.659;0;0;1.399.111;424.480;0;24;1.043.195;0;0;39.823;0;431;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2020;10.490.132;10.305.576;0;182.562;0;0;0;0;1.993;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;03/2020;10.174.501;10.167.280;0;0;0;0;0;0;0;0;0;0;0;0;0;7.221;0
BANCO GM S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;03/2020;9.819.552;9.819.551;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2020;9.708.162;8.663.046;0;86.188;0;0;0;765.919;10.653;0;0;181.887;0;0;0;470;0
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;03/2020;8.995.759;8.011.076;0;36.999;49.656;886.748;0;0;11.281;0;0;0;0;0;0;0;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;03/2020;8.759.007;3.872.913;0;0;0;0;0;1.138.406;0;0;5.767;0;0;0;2.433.377;824;1.307.722
