Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2020;38.469.297;114.598.872
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2020;35.449.765;103.672.334
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2020;20.921.270;48.774.893
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2020;18.141.654;39.002.689
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2020;15.443.909;42.491.840
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;03/2020;9.736.483;30.542.041
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;03/2020;9.385.131;18.555.656
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;03/2020;6.299.994;10.090.413
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2020;4.302.854;9.107.601
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2020;4.249.130;8.673.380
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;03/2020;4.188.325;12.265.797
OM;50.940;b1;C;2;S4;199;SAO PAULO;SP;03/2020;4.174.132;6.200.049
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2020;3.786.846;5.260.922
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2020;3.027.208;12.163.868
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2020;2.970.735;9.021.325
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;03/2020;2.314.092;6.122.852
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;03/2020;1.921.874;2.729.237
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2020;1.713.348;2.756.864
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2020;1.631.966;2.248.803
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;03/2020;1.623.582;2.010.019
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;03/2020;1.608.767;2.784.096
BANCO DIGIO S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;03/2020;1.227.455;1.914.430
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2020;1.214.444;2.566.723
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2020;1.133.984;2.260.056
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2020;1.015.541;1.290.663
