Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2015;413.394.701;12.134.309;55.167.964;100.604.089;181.399.917;25.468;64.062.953
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2015;391.670.350;30.399.841;1.045.277;37.489.389;322.735.843;0;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2015;330.269.333;4.100.431;17.118.467;57.613.488;81.375.876;63.150;169.997.921
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2015;289.184.978;31.379.534;30.241.419;57.922.072;43.375.840;82.170;126.183.943
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2015;192.446.477;45.978.263;34.294.994;58.528.468;53.616.922;27.831;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2015;136.234.680;7.870.947;13.368.128;47.937.923;40.797.426;36.079;26.224.178
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2015;49.241.124;5.214.975;2.253.854;12.175.761;19.739.266;4.353;9.852.915
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2015;43.150.081;268.150;197.158;684.750;6.604.180;0;35.395.844
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2015;42.447.443;1.148.293;755.855;11.457.108;18.380.977;1.628;10.703.582
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2015;17.515.803;17.252;2.523.110;1.409.918;10.796.399;251;2.768.873
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2015;15.043.730;2.133.628;1.138.888;1.194.201;10.576.915;98;0
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2015;14.490.301;395.539;1.750.371;7.046.867;5.020.535;6.873;270.116
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;12/2015;12.203.318;160.532;815.441;4.068.314;3.425.538;44;3.733.449
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2015;11.552.853;1.199.578;3.425.789;2.609.026;4.317.587;874;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;12/2015;9.265.387;634.783;1.386.178;5.910.618;1.333.798;11;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;12/2015;9.220.715;204.731;259.767;882.399;7.872.983;835;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2015;9.189.087;729.020;758.665;3.966.295;3.734.967;139;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;12/2015;8.981.887;639.255;641.861;3.994.969;3.705.801;1;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;12/2015;7.505.641;414.991;520.223;5.780.492;780.913;9.023;0
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;12/2015;7.479.819;523.893;278.295;3.214.866;3.321.929;929;139.906
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;12/2015;7.180.287;33.643;15.246;360.622;2.776.247;0;3.994.528
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2015;6.262.735;583.382;2.997;866.811;4.809.544;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;12/2015;5.701.261;125.425;421.510;2.882.472;2.271.840;15;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;12/2015;5.122.433;0;114.517;619.727;2.942.159;1;1.446.030
CCB;32.119;b1;C;3;;199;SAO PAULO;SP;12/2015;4.944.322;255.225;420.395;2.282.539;1.166.738;0;819.425
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;12/2015;4.685.550;149.606;506.629;1.359.151;2.670.156;9;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;12/2015;4.629.308;152.904;8.573;814.207;3.653.623;1;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;12/2015;4.512.811;2.846.007;825.809;728.595;112.396;4;0
