Time; INAD_TOT ;INAD_TOT_MIL
2014-09; 6.573.393 ; 6,57 
2014-12; 6.666.321 ; 6,67 
2015-03; 7.335.013 ; 7,34 
2015-06; 6.985.068 ; 6,99 
2015-09; 8.267.989 ; 8,27 
2015-12; 8.257.849 ; 8,26 
2016-03; 9.767.507 ; 9,77 
2016-06; 9.030.321 ; 9,03 
2016-09; 9.790.665 ; 9,79 
2016-12; 10.758.039 ; 10,76 
2017-03; 13.004.504 ; 13,00 
2017-06; 12.574.725 ; 12,57 
2017-09; 13.258.975 ; 13,26 
2017-12; 13.496.944 ; 13,50 
2018-03; 12.336.617 ; 12,34 
2018-06; 12.348.754 ; 12,35 
2018-09; 9.507.843 ; 9,51 
2018-12; 8.600.510 ; 8,60 
2019-03; 9.216.026 ; 9,22 
2019-06; 10.000.188 ; 10,00 
2019-09; 9.756.100 ; 9,76 
2019-12; 9.361.397 ; 9,36 
2020-03; 9.749.410 ; 9,75 
2020-06; 11.629.307 ; 11,63 
2020-09; 10.085.064 ; 10,09 
