Time; INAD_TOT ;INAD_TOT_MIL
2014-09; 168.692 ; 0,17 
2014-12; 149.426 ; 0,15 
2015-03; 1.641.712 ; 1,64 
2015-06; 259.661 ; 0,26 
2015-09; 142.067 ; 0,14 
2015-12; 776.715 ; 0,78 
2016-03; 1.734.731 ; 1,73 
2016-06; 2.804.220 ; 2,80 
2016-09; 937.490 ; 0,94 
2016-12; 2.444.602 ; 2,44 
2017-03; 2.160.301 ; 2,16 
2017-06; 2.277.219 ; 2,28 
2017-09; 2.354.246 ; 2,35 
2017-12; 527.888 ; 0,53 
2018-03; 942.202 ; 0,94 
2018-06; 730.499 ; 0,73 
2018-09; 1.176.362 ; 1,18 
2018-12; 730.726 ; 0,73 
2019-03; 605.847 ; 0,61 
2019-06; 211.565 ; 0,21 
2019-09; 150.816 ; 0,15 
2019-12; 606.093 ; 0,61 
2020-03; 1.446.834 ; 1,45 
2020-06; 173.119 ; 0,17 
2020-09; 1.097.769 ; 1,10 
