Time; INAD_TOT ;INAD_TOT_MIL
2014-09; 8.635.124 ; 8,64 
2014-12; 8.622.981 ; 8,62 
2015-03; 9.385.702 ; 9,39 
2015-06; 9.740.514 ; 9,74 
2015-09; 10.529.218 ; 10,53 
2015-12; 10.732.883 ; 10,73 
2016-03; 11.420.797 ; 11,42 
2016-06; 11.915.942 ; 11,92 
2016-09; 14.955.758 ; 14,96 
2016-12; 16.919.839 ; 16,92 
2017-03; 15.729.634 ; 15,73 
2017-06; 13.322.090 ; 13,32 
2017-09; 12.148.023 ; 12,15 
2017-12; 11.051.836 ; 11,05 
2018-03; 11.520.704 ; 11,52 
2018-06; 11.026.519 ; 11,03 
2018-09; 10.451.848 ; 10,45 
2018-12; 9.819.225 ; 9,82 
2019-03; 9.846.433 ; 9,85 
2019-06; 10.175.935 ; 10,18 
2019-09; 11.545.066 ; 11,55 
2019-12; 10.942.537 ; 10,94 
2020-03; 12.257.988 ; 12,26 
2020-06; 11.218.828 ; 11,22 
2020-09; 11.781.501 ; 11,78 
