Time; INAD_TOT ;INAD_TOT_MIL
2014-09; 603.170,00 ; 0,60 
2014-12; 612.001,00 ; 0,61 
2015-03; 715.829,00 ; 0,72 
2015-06; 799.273,00 ; 0,80 
2015-09; 904.174,00 ; 0,90 
2015-12; 925.519,00 ; 0,93 
2016-03; 1.008.797,00 ; 1,01 
2016-06; 1.037.785,00 ; 1,04 
2016-09; 1.007.143,00 ; 1,01 
2016-12; 952.705,00 ; 0,95 
2017-03; 954.923,00 ; 0,95 
2017-06; 880.820,00 ; 0,88 
2017-09; 807.387,00 ; 0,81 
2017-12; 810.279,00 ; 0,81 
2018-03; 870.636,00 ; 0,87 
2018-06; 926.965,00 ; 0,93 
2018-09; 950.427,00 ; 0,95 
2018-12; 984.467,00 ; 0,98 
2019-03; 1.056.962,00 ; 1,06 
2019-06; 1.130.789,00 ; 1,13 
2019-09; 1.225.642,00 ; 1,23 
2019-12; 1.309.703,00 ; 1,31 
2020-03; 1.521.144,00 ; 1,52 
2020-06; 1.591.559,00 ; 1,59 
2020-09; 1.641.505,00 ; 1,64 
