Time; INAD_TOT ;INAD_TOT_MIL
2014-09; 10.188.178,00 ; 10,19 
2014-12; 10.354.929,00 ; 10,35 
2015-03; 10.928.712,00 ; 10,93 
2015-06; 12.227.485,00 ; 12,23 
2015-09; 12.674.111,00 ; 12,67 
2015-12; 12.304.525,00 ; 12,30 
2016-03; 13.016.887,00 ; 13,02 
2016-06; 14.043.276,00 ; 14,04 
2016-09; 13.401.028,00 ; 13,40 
2016-12; 11.214.287,00 ; 11,21 
2017-03; 11.798.939,00 ; 11,80 
2017-06; 10.244.683,00 ; 10,24 
2017-09; 9.711.566,00 ; 9,71 
2017-12; 10.728.353,00 ; 10,73 
2018-03; 10.226.696,00 ; 10,23 
2018-06; 9.625.295,00 ; 9,63 
2018-09; 9.800.520,00 ; 9,80 
2018-12; 10.686.921,00 ; 10,69 
2019-03; 11.485.517,00 ; 11,49 
2019-06; 11.359.498,00 ; 11,36 
2019-09; 12.079.010,00 ; 12,08 
2019-12; 12.614.323,00 ; 12,61 
2020-03; 13.853.308,00 ; 13,85 
2020-06; 13.742.162,43 ; 13,74 
2020-09; 15.261.222,81 ; 15,26 
