Time; INAD_TOT ;INAD_TOT_MIL
2014-09; 568.471,00 ; 0,57 
2014-12; 582.818,00 ; 0,58 
2015-03; 656.880,00 ; 0,66 
2015-06; 637.586,00 ; 0,64 
2015-09; 675.820,00 ; 0,68 
2015-12; 806.851,00 ; 0,81 
2016-03; 904.464,00 ; 0,90 
2016-06; 951.190,00 ; 0,95 
2016-09; 1.035.361,00 ; 1,04 
2016-12; 1.113.019,00 ; 1,11 
2017-03; 1.149.372,00 ; 1,15 
2017-06; 1.195.503,00 ; 1,20 
2017-09; 1.188.456,00 ; 1,19 
2017-12; 1.036.978,00 ; 1,04 
2018-03; 1.101.824,00 ; 1,10 
2018-06; 1.311.021,00 ; 1,31 
2018-09; 1.034.179,00 ; 1,03 
2018-12; 1.151.436,00 ; 1,15 
2019-03; 1.076.643,00 ; 1,08 
2019-06; 1.051.471,00 ; 1,05 
2019-09; 1.038.577,00 ; 1,04 
2019-12; 1.025.658,00 ; 1,03 
2020-03; 1.112.769,00 ; 1,11 
2020-06; 1.046.205,00 ; 1,05 
2020-09; 1.003.347,00 ; 1,00 
