Time; INAD_TOT ;INAD_TOT_MIL
2014-09; 400.157 ; 0,40 
2014-12; 348.639 ; 0,35 
2015-03; 373.503 ; 0,37 
2015-06; 429.326 ; 0,43 
2015-09; 487.004 ; 0,49 
2015-12; 684.318 ; 0,68 
2016-03; 721.220 ; 0,72 
2016-06; 498.542 ; 0,50 
2016-09; 362.992 ; 0,36 
2016-12; 372.739 ; 0,37 
2017-03; 222.220 ; 0,22 
2017-06; 272.112 ; 0,27 
2017-09; 175.783 ; 0,18 
2017-12; 181.508 ; 0,18 
2018-03; 210.216 ; 0,21 
2018-06; 172.626 ; 0,17 
2018-09; 169.062 ; 0,17 
2018-12; 160.313 ; 0,16 
2019-03; 201.832 ; 0,20 
2019-06; 250.129 ; 0,25 
2019-09; 262.020 ; 0,26 
2019-12; 299.373 ; 0,30 
2020-03; 331.283 ; 0,33 
2020-06; 784.265 ; 0,78 
2020-09; 1.289.275 ; 1,29 
