Time; INAD_TOT ;INAD_TOT_MIL
2014-09; 7.057.964 ; 7,06 
2014-12; 6.526.922 ; 6,53 
2015-03; 6.274.248 ; 6,27 
2015-06; 6.658.404 ; 6,66 
2015-09; 6.867.767 ; 6,87 
2015-12; 7.192.608 ; 7,19 
2016-03; 7.337.545 ; 7,34 
2016-06; 7.028.751 ; 7,03 
2016-09; 6.594.212 ; 6,59 
2016-12; 6.596.539 ; 6,60 
2017-03; 7.444.209 ; 7,44 
2017-06; 7.179.343 ; 7,18 
2017-09; 7.452.049 ; 7,45 
2017-12; 7.995.275 ; 8,00 
2018-03; 7.237.281 ; 7,24 
2018-06; 7.752.220 ; 7,75 
2018-09; 7.914.844 ; 7,91 
2018-12; 8.547.391 ; 8,55 
2019-03; 8.551.975 ; 8,55 
2019-06; 8.781.584 ; 8,78 
2019-09; 8.634.971 ; 8,63 
2019-12; 8.860.597 ; 8,86 
2020-03; 9.038.439 ; 9,04 
2020-06; 10.038.115 ; 10,04 
2020-09; 11.030.834 ; 11,03 
