Time; INAD_TOT ;INAD_TOT_MIL
2014-09; 2.115.855 ; 2,12 
2014-12; 2.282.550 ; 2,28 
2015-03; 2.362.643 ; 2,36 
2015-06; 1.715.719 ; 1,72 
2015-09; 1.714.147 ; 1,71 
2015-12; 1.551.588 ; 1,55 
2016-03; 1.303.599 ; 1,30 
2016-06; 1.826.052 ; 1,83 
2016-09; 1.716.947 ; 1,72 
2016-12; 1.675.712 ; 1,68 
2017-03; 1.316.912 ; 1,32 
2017-06; 1.197.535 ; 1,20 
2017-09; 1.165.424 ; 1,17 
2017-12; 1.108.139 ; 1,11 
2018-03; 1.114.250 ; 1,11 
2018-06; 1.107.380 ; 1,11 
2018-09; 1.110.675 ; 1,11 
2018-12; 1.123.810 ; 1,12 
2019-03; 1.216.377 ; 1,22 
2019-06; 1.302.620 ; 1,30 
2019-09; 1.343.062 ; 1,34 
2019-12; 1.405.553 ; 1,41 
2020-03; 1.530.052 ; 1,53 
2020-06; 1.521.773 ; 1,52 
2020-09; 1.834.880 ; 1,83 
